evaluation,search_type,alpha_text,top_1,top_3,top_5,top_10,context_recall,faithfulness,factual_correctness(f1)
text,hybrid,0.5,0.45,0.45,0.45,0.45,0.8337,0.6762,0.5645
text,hybrid,0.5,0.15,0.20,0.25,0.25,0.7308,0.5476,0.5837
text,hybrid,0.5,0.30,0.40,0.40,0.50,0.7561,0.5465,0.5810
text,hybrid,0.5,0.40,0.40,0.40,0.45,0.7595,0.6266,0.5275
text,hybrid,0.5,0.20,0.20,0.20,0.30,0.7749,0.7135,0.5510
text,hybrid,0.8,0.20,0.25,0.25,0.35,0.6261,0.4984,0.5365
text,hybrid,0.8,0.30,0.35,0.35,0.50,0.6842,0.6687,0.4910
text,hybrid,0.8,0.20,0.25,0.25,0.25,0.7492,0.6941,0.5060
text,hybrid,0.8,0.15,0.20,0.25,0.25,0.6636,0.6451,0.4185
text,hybrid,0.8,0.40,0.50,0.50,0.50,0.8130,0.6051,0.4950
text,hybrid,0.2,0.25,0.35,0.40,0.45,0.7610,0.5901,0.5840
text,hybrid,0.2,0.20,0.35,0.35,0.35,0.5983,0.5991,0.4805
text,hybrid,0.2,0.25,0.25,0.25,0.30,0.8266,0.6684,0.5825
text,hybrid,0.2,0.35,0.35,0.35,0.35,0.8149,0.5314,0.5285
text,hybrid,0.2,0.50,0.55,0.60,0.60,0.8309,0.7652,0.5640
text,fulltext,0,0.85,0.95,0.95,0.95,0.9644,0.7694,0.6110
text,fulltext,0,0.65,0.85,0.85,0.90,0.8218,0.6800,0.6221
text,fulltext,0,0.70,0.75,0.75,0.80,0.8719,0.6094,0.5590
text,fulltext,0,0.95,0.95,0.95,0.95,0.9532,0.6679,0.6140
text,fulltext,0,0.85,0.90,0.90,0.90,0.9114,0.6587,0.6032
text,multimodal,0.5,0.2,0.28,0.32,0.38,0.8107,0.5378,0.5467
text,multimodal,0.5,0.05,0.05,0.1,0.1,0.8137,0.5112,0.6580
text,multimodal,0.5,0.35,0.4,0.4,0.4,0.7407,0.6740,0.5635
text,multimodal,0.5,0.15,0.15,0.15,0.2,0.8475,0.6466,0.4700
text,multimodal,0.5,0.2,0.2,0.25,0.35,0.6687,0.5243,0.6605
text,multimodal,0.3,0.25,0.3,0.3,0.3,0.8000,0.6054,0.6140
text,multimodal,0.3,0.25,0.3,0.3,0.4,0.7190,0.5359,0.5480
text,multimodal,0.3,0.25,0.25,0.35,0.5,0.8185,0.6323,0.5453
text,multimodal,0.3,0.35,0.35,0.35,0.4,0.7556,0.5716,0.5570
text,multimodal,0.3,0.2,0.3,0.3,0.3,0.7046,0.6031,0.5950
text,multimodal,0.7,0.4,0.45,0.45,0.45,0.8196,0.5640,0.5910
text,multimodal,0.7,0.3,0.45,0.5,0.55,0.8019,0.5917,0.5715
text,multimodal,0.7,0.25,0.25,0.25,0.3,0.7441,0.4678,0.5725
text,multimodal,0.7,0.25,0.3,0.3,0.3,0.7675,0.4048,0.5305
text,multimodal,0.7,0.2,0.2,0.2,0.2,0.7311,0.5004,0.6090
text+img_caption,multimodal,0.3,0.35,0.4,0.4,0.4,0.6795,0.5782,0.6100
text+img_caption,multimodal,0.3,0.15,0.25,0.25,0.25,0.6425,0.4921,0.5480
text+img_caption,multimodal,0.3,0.25,0.25,0.25,0.3,0.7284,0.4352,0.5230
text+img_caption,multimodal,0.5,0.1,0.25,0.3,0.3,0.6515,0.6494,0.4468
text+img_caption,multimodal,0.5,0.25,0.25,0.25,0.25,0.6773,0.5053,0.5000
text+img_caption,multimodal,0.5,0.2,0.25,0.3,0.3,0.7126,0.4216,0.4880
text+img_caption,multimodal,0.7,0.3,0.35,0.35,0.4,0.6967,0.6496,0.5190
text+img_caption,multimodal,0.7,0.25,0.25,0.25,0.3,0.6448,0.5221,0.6455
text+img_caption,multimodal,0.7,0.15,0.2,0.25,0.3,0.8215,0.5934,0.5490
